,cluster,color
0,0,#1f77b4
1,1,#aec7e8
2,2,#ff7f0e
3,3,#ffbb78
4,4,#2ca02c
5,5,#98df8a
6,6,#d62728
7,7,#ff9896
8,8,#9467bd
9,9,#c5b0d5
10,10,#8c564b
11,11,#c49c94
12,12,#e377c2
13,13,#f7b6d2
14,14,#7f7f7f
15,15,#c7c7c7
16,16,#bcbd22
17,17,#dbdb8d
18,18,#17becf
19,19,#9edae5
20,20,#393b79
21,21,#5254a3
22,22,#6b6ecf
23,23,#9c9ede
24,24,#637939
25,25,#8ca252
26,26,#b5cf6b
27,27,#cedb9c
28,28,#8c6d31
29,29,#bd9e39
30,30,#e7ba52
31,31,#e7cb94
32,32,#843c39
33,33,#ad494a
34,34,#d6616b
35,35,#e7969c
36,36,#7b4173
37,37,#a55194
38,38,#ce6dbd
39,39,#de9ed6
40,40,#3182bd
41,41,#6baed6
42,42,#9ecae1
43,43,#c6dbef
44,44,#e6550d
45,45,#fd8d3c
46,46,#fdae6b
47,47,#fdd0a2
48,48,#31a354
49,49,#a1d99b
50,50,#c7e9c0
51,51,#756bb1
52,52,#9e9ac8
53,53,#bcbddc
54,54,#dadaeb
55,55,#636363
56,56,#969696
57,57,#bdbdbd
58,58,#d9d9d9
