"","C1","C2","C3","C4","C5","P01","P02","P03","P08","P09","P11","P12","P17","P18"
"APOB",0,0,1,0,0,0,0,0,0,0,0,0,19,5
"BST2",0,0,0,0,0,6,0,8,1,0,0,0,0,0
"C1S",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CCND1",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CISD2",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DHX33",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FNDC3B",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"G6PC2",0,0,0,0,0,0,0,0,1,0,0,0,17,0
"GALC",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GANAB",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"GNL3L",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HAUS3",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HCRT",1,0,3,0,0,0,1,5,0,0,0,2,2,0
"HMHA1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IGF2BP2",0,0,0,0,0,0,1,0,0,0,0,0,1,1
"INS",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"INSM1",0,0,0,1,0,0,2,0,0,0,0,0,3,1
"ITIH6",0,0,0,0,0,0,0,1,0,0,0,0,0,22
"KCNB1",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"LCP1",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LY6K",0,0,3,7,0,0,1,10,4,1,0,2,7,3
"MAGEA1",0,0,0,0,0,5,4,0,0,1,0,0,0,0
"MART1/MLANA",0,0,1,1,0,1,0,0,2,0,0,0,0,1
"MEGF6",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NBPF14",0,0,1,2,0,0,0,0,0,0,0,0,0,0
"NSDHL",0,0,1,0,0,0,0,2,0,0,0,14,0,5
"OR5M8",0,0,0,2,0,0,0,0,0,0,0,0,1,0
"OR6F1",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OR8D4",0,0,0,0,0,0,0,2,0,0,0,0,1,1
"PGM5",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PLXNB1",0,0,1,0,0,0,0,1,0,0,0,0,0,1
"PMEL",0,0,1,8,0,0,1,3,0,0,0,0,4,1
"PNPLA6",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"POMT1",6,0,6,8,0,3,1,16,0,0,0,3,9,64
"PPP1CA",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"PRPF3",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"SMARCD3",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SNRPB/SNRPB2",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SREBF1",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"STPG4",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SYTL4",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TBX3",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TP53",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"TPBG",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"TRPV4",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TXNDC11",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TYR",0,0,0,4,0,0,0,0,0,0,0,1,0,1
"WDR46",0,0,0,0,18,0,0,0,0,0,0,0,0,0
"WT1",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"NA",194,14,1989,966,1745,2178,1233,4680,1601,2798,710,3621,3355,3888
